,Option Type,Ticker,Exp Date,Id,contractSymbol,lastTradeDate,Last Sell Time,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,Call,MRO,2021-07-16,0,MRO210716C00001000,2021-01-28,19:01:51,1.0,6.59,6.20,6.35,0.00,0.000000,3,27,1.593752,True,REGULAR,USD
1,Call,MRO,2021-07-16,1,MRO210716C00002000,2020-12-24,16:35:41,2.0,4.65,6.10,6.20,0.00,0.000000,8,13,2.937503,True,REGULAR,USD
2,Call,MRO,2021-07-16,2,MRO210716C00003000,2021-01-25,15:00:01,3.0,4.90,4.25,4.75,0.00,0.000000,8,33,1.207035,True,REGULAR,USD
3,Call,MRO,2021-07-16,3,MRO210716C00004000,2021-01-27,15:00:21,4.0,3.50,3.30,3.90,-0.05,-1.408449,1,59,0.988281,True,REGULAR,USD
4,Call,MRO,2021-07-16,4,MRO210716C00005000,2021-01-27,16:10:12,5.0,3.05,1.93,3.20,0.00,0.000000,17,193,0.677738,True,REGULAR,USD
5,Call,MRO,2021-07-16,5,MRO210716C00006000,2021-01-29,20:51:34,6.0,2.00,1.90,2.10,-0.20,-9.090911,49,310,0.726565,True,REGULAR,USD
6,Call,MRO,2021-07-16,6,MRO210716C00007000,2021-01-28,18:00:50,7.0,1.45,1.42,1.53,-0.17,-10.493825,35,969,0.708011,True,REGULAR,USD
7,Call,MRO,2021-07-16,7,MRO210716C00008000,2021-01-29,18:26:19,8.0,1.10,1.05,1.12,-0.08,-6.779655,6,770,0.702151,False,REGULAR,USD
8,Call,MRO,2021-07-16,8,MRO210716C00009000,2021-01-29,19:54:51,9.0,0.83,0.78,0.85,-0.11,-11.702129,72,588,0.708987,False,REGULAR,USD
9,Call,MRO,2021-07-16,9,MRO210716C00010000,2021-01-29,20:59:56,10.0,0.60,0.58,0.64,-0.06,-9.090909,86,759,0.712893,False,REGULAR,USD
10,Call,MRO,2021-07-16,10,MRO210716C00011000,2021-01-28,20:31:03,11.0,0.48,0.41,0.49,-0.04,-7.692306,38,445,0.710940,False,REGULAR,USD
11,Call,MRO,2021-07-16,11,MRO210716C00015000,2021-01-29,19:26:45,15.0,0.18,0.15,0.20,-0.04,-18.181814,33,267,0.748049,False,REGULAR,"USD,"
