,Identifier,contractSymbol,lastTradeDate,Last Sell Time,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,0,MSFT210129C00177500,2021-01-28,18:50:16,177.5,62.50,59.85,62.25,7.099998,12.815881,55,56,3.492189,True,REGULAR,USD
1,1,MSFT210129C00180000,2021-01-28,16:57:34,180.0,61.75,58.00,59.70,8.750000,16.509434,444,476,3.312502,True,REGULAR,USD
2,2,MSFT210129C00182500,2021-01-28,14:55:27,182.5,53.75,54.05,57.20,3.250000,6.435644,50,9,3.179690,True,REGULAR,USD
3,3,MSFT210129C00185000,2021-01-28,15:04:11,185.0,51.15,51.50,55.85,4.040001,8.575676,1,17,3.782227,True,REGULAR,USD
4,4,MSFT210129C00187500,2021-01-27,19:52:05,187.5,43.30,49.20,53.40,0.000000,0.000000,2,2,3.654298,True,REGULAR,USD
5,5,MSFT210129C00190000,2021-01-28,20:03:24,190.0,50.70,46.50,50.90,8.889999,21.262854,1,54,3.501954,True,REGULAR,USD
6,6,MSFT210129C00192500,2021-01-28,18:50:16,192.5,49.60,44.05,48.10,3.000000,6.437769,18,22,3.202150,True,REGULAR,USD
7,7,MSFT210129C00195000,2021-01-27,15:11:41,195.0,44.79,41.50,45.90,0.000000,0.000000,12,16,3.200197,True,REGULAR,USD
8,8,MSFT210129C00197500,2021-01-27,20:03:34,197.5,34.35,39.00,43.40,0.000000,0.000000,5,94,3.049807,True,REGULAR,USD
9,9,MSFT210129C00200000,2021-01-28,19:26:59,200.0,41.50,36.65,40.90,10.400000,33.440514,27,278,2.900393,True,REGULAR,USD
10,10,MSFT210129C00202500,2021-01-28,20:38:56,202.5,36.52,34.70,38.40,6.570000,21.936560,9,183,1.519534,True,REGULAR,USD
11,11,MSFT210129C00205000,2021-01-28,19:41:49,205.0,34.65,32.60,35.30,7.530001,27.765488,11,241,1.125004,True,REGULAR,USD
12,12,MSFT210129C00207500,2021-01-28,20:18:34,207.5,33.03,30.70,33.35,4.929998,17.544477,7,298,1.784181,True,REGULAR,USD
13,13,MSFT210129C00210000,2021-01-28,20:18:34,210.0,30.55,28.00,30.30,8.150000,36.383926,87,1086,1.359378,True,REGULAR,USD
14,14,MSFT210129C00212500,2021-01-28,20:43:21,212.5,26.00,25.55,28.50,7.600000,41.304350,51,923,1.542971,True,REGULAR,USD
15,15,MSFT210129C00215000,2021-01-28,20:57:13,215.0,24.36,22.10,25.95,5.810001,31.320763,157,1807,0.996094,True,REGULAR,USD
16,16,MSFT210129C00217500,2021-01-28,20:51:58,217.5,21.90,20.10,23.05,5.500000,33.536587,239,2121,0.968750,True,REGULAR,USD
17,17,MSFT210129C00220000,2021-01-28,20:58:11,220.0,19.06,17.90,19.30,5.559999,41.185180,1144,5434,1.051763,True,REGULAR,USD
18,18,MSFT210129C00222500,2021-01-28,20:46:56,222.5,16.25,15.25,18.25,4.850000,42.543865,399,4194,0.906251,True,REGULAR,USD
19,19,MSFT210129C00225000,2021-01-28,20:58:16,225.0,14.25,12.95,15.05,5.350000,60.112370,3440,18182,0.589848,True,REGULAR,USD
20,20,MSFT210129C00227500,2021-01-28,20:59:57,227.5,11.55,11.10,13.65,4.850000,72.388060,1654,5561,0.934083,True,REGULAR,USD
21,21,MSFT210129C00230000,2021-01-28,20:59:57,230.0,8.88,8.40,9.45,4.180000,88.936180,14936,21050,0.647464,True,REGULAR,USD
22,22,MSFT210129C00232500,2021-01-28,20:57:29,232.5,6.75,6.00,8.00,3.350000,98.529400,6015,9506,0.532231,True,REGULAR,USD
23,23,MSFT210129C00235000,2021-01-28,20:59:53,235.0,4.39,3.70,5.30,2.300000,110.047850,18910,28412,0.590824,True,REGULAR,USD
24,24,MSFT210129C00237500,2021-01-28,20:59:57,237.5,2.53,2.30,2.80,1.290000,104.032260,17380,12955,0.402838,True,REGULAR,USD
25,25,MSFT210129C00240000,2021-01-28,20:59:40,240.0,1.22,1.07,1.35,0.500000,69.444440,58251,22587,0.367194,False,REGULAR,USD
